request_id,selected_mode,task_id,task_type,device,start_us,finish_us
1,fixed_manifest,block_09_attention,self_attention,GPU,31262.858240000052,31418.884800000054
1,fixed_manifest,block_09_proj,linear_projection,GPU,31418.884800000054,31571.128960000056
1,fixed_manifest,block_09_residual1,residual_add,GPU,31571.128960000056,31589.476160000053
1,fixed_manifest,block_09_norm2,layer_norm,GPU,31589.476160000053,31611.60576000005
1,fixed_manifest,block_09_ffn_island,fused_ffn_island,FPGA,31770.370560000054,32103.118080000055
1,fixed_manifest,block_09_residual2,residual_add,GPU,32261.88288000006,32280.230080000056
1,fixed_manifest,block_10_norm1,layer_norm,GPU,32280.230080000056,32302.359680000052
1,fixed_manifest,block_10_qkv,linear_qkv,GPU,32302.359680000052,32745.09216000005
1,fixed_manifest,block_10_attention,self_attention,GPU,32745.09216000005,32901.11872000005
1,fixed_manifest,block_10_proj,linear_projection,GPU,32901.11872000005,33053.36288000005
1,fixed_manifest,block_10_residual1,residual_add,GPU,33053.36288000005,33071.710080000055
1,fixed_manifest,block_10_norm2,layer_norm,GPU,33071.710080000055,33093.83968000005
1,fixed_manifest,block_10_ffn_island,fused_ffn_island,FPGA,33252.60448000005,33585.35200000006
2,fixed_manifest,patch_embedding,patch_embedding,GPU,33333.333333333336,33484.84021333333
2,fixed_manifest,token_embedding,token_and_position_embedding,GPU,33484.84021333333,33503.18741333333
2,fixed_manifest,block_00_norm1,layer_norm,GPU,33503.18741333333,33525.317013333326
2,fixed_manifest,block_00_qkv,linear_qkv,GPU,33525.317013333326,33968.049493333325
1,fixed_manifest,block_10_residual2,residual_add,GPU,33968.049493333325,33986.39669333332
2,fixed_manifest,block_00_attention,self_attention,GPU,33986.39669333332,34142.42325333333
1,fixed_manifest,block_11_norm1,layer_norm,GPU,34142.42325333333,34164.55285333332
2,fixed_manifest,block_00_proj,linear_projection,GPU,34164.55285333332,34316.79701333332
1,fixed_manifest,block_11_qkv,linear_qkv,GPU,34316.79701333332,34759.52949333332
2,fixed_manifest,block_00_residual1,residual_add,GPU,34759.52949333332,34777.87669333332
1,fixed_manifest,block_11_attention,self_attention,GPU,34777.87669333332,34933.90325333332
2,fixed_manifest,block_00_norm2,layer_norm,GPU,34933.90325333332,34956.032853333316
1,fixed_manifest,block_11_proj,linear_projection,GPU,34956.032853333316,35108.27701333332
1,fixed_manifest,block_11_residual1,residual_add,GPU,35108.27701333332,35126.62421333332
2,fixed_manifest,block_00_ffn_island,fused_ffn_island,FPGA,35114.79765333332,35447.545173333325
1,fixed_manifest,block_11_norm2,layer_norm,GPU,35126.62421333332,35148.753813333315
1,fixed_manifest,block_11_ffn_island,fused_ffn_island,FPGA,35447.545173333325,35780.29269333333
2,fixed_manifest,block_00_residual2,residual_add,GPU,35606.30997333333,35624.657173333326
2,fixed_manifest,block_01_norm1,layer_norm,GPU,35624.657173333326,35646.78677333332
2,fixed_manifest,block_01_qkv,linear_qkv,GPU,35646.78677333332,36089.51925333332
1,fixed_manifest,block_11_residual2,residual_add,GPU,36089.51925333332,36107.86645333332
2,fixed_manifest,block_01_attention,self_attention,GPU,36107.86645333332,36263.89301333332
1,fixed_manifest,final_norm,layer_norm,GPU,36263.89301333332,36286.02261333331
2,fixed_manifest,block_01_proj,linear_projection,GPU,36286.02261333331,36438.266773333315
1,fixed_manifest,class_token_select,class_token_select,GPU,36438.266773333315,36445.30517333332
2,fixed_manifest,block_01_residual1,residual_add,GPU,36445.30517333332,36463.652373333316
1,fixed_manifest,classifier,linear_classifier,GPU,36463.652373333316,36471.612373333315
2,fixed_manifest,block_01_norm2,layer_norm,GPU,36471.612373333315,36493.741973333315
2,fixed_manifest,block_01_ffn_island,fused_ffn_island,FPGA,36652.50677333331,36985.25429333332
2,fixed_manifest,block_01_residual2,residual_add,GPU,37144.01909333332,37162.36629333332
2,fixed_manifest,block_02_norm1,layer_norm,GPU,37162.36629333332,37184.49589333332
2,fixed_manifest,block_02_qkv,linear_qkv,GPU,37184.49589333332,37627.22837333332
2,fixed_manifest,block_02_attention,self_attention,GPU,37627.22837333332,37783.254933333315
2,fixed_manifest,block_02_proj,linear_projection,GPU,37783.254933333315,37935.49909333332
2,fixed_manifest,block_02_residual1,residual_add,GPU,37935.49909333332,37953.846293333314
2,fixed_manifest,block_02_norm2,layer_norm,GPU,37953.846293333314,37975.975893333314
2,fixed_manifest,block_02_ffn_island,fused_ffn_island,FPGA,38134.74069333331,38467.488213333316
2,fixed_manifest,block_02_residual2,residual_add,GPU,38626.25301333332,38644.60021333332
2,fixed_manifest,block_03_norm1,layer_norm,GPU,38644.60021333332,38666.72981333332
2,fixed_manifest,block_03_qkv,linear_qkv,GPU,38666.72981333332,39109.462293333316
2,fixed_manifest,block_03_attention,self_attention,GPU,39109.462293333316,39265.488853333314
2,fixed_manifest,block_03_proj,linear_projection,GPU,39265.488853333314,39417.733013333316
2,fixed_manifest,block_03_residual1,residual_add,GPU,39417.733013333316,39436.08021333331
2,fixed_manifest,block_03_norm2,layer_norm,GPU,39436.08021333331,39458.20981333331
2,fixed_manifest,block_03_ffn_island,fused_ffn_island,FPGA,39616.97461333332,39949.722133333315
2,fixed_manifest,block_03_residual2,residual_add,GPU,40108.48693333332,40126.834133333316
2,fixed_manifest,block_04_norm1,layer_norm,GPU,40126.834133333316,40148.963733333316
2,fixed_manifest,block_04_qkv,linear_qkv,GPU,40148.963733333316,40591.696213333315
2,fixed_manifest,block_04_attention,self_attention,GPU,40591.696213333315,40747.72277333331
2,fixed_manifest,block_04_proj,linear_projection,GPU,40747.72277333331,40899.966933333315
2,fixed_manifest,block_04_residual1,residual_add,GPU,40899.966933333315,40918.31413333331
2,fixed_manifest,block_04_norm2,layer_norm,GPU,40918.31413333331,40940.44373333331
2,fixed_manifest,block_04_ffn_island,fused_ffn_island,FPGA,41099.208533333316,41431.95605333331
2,fixed_manifest,block_04_residual2,residual_add,GPU,41590.72085333332,41609.068053333314
2,fixed_manifest,block_05_norm1,layer_norm,GPU,41609.068053333314,41631.197653333315
2,fixed_manifest,block_05_qkv,linear_qkv,GPU,41631.197653333315,42073.93013333331
2,fixed_manifest,block_05_attention,self_attention,GPU,42073.93013333331,42229.95669333331
2,fixed_manifest,block_05_proj,linear_projection,GPU,42229.95669333331,42382.200853333314
2,fixed_manifest,block_05_residual1,residual_add,GPU,42382.200853333314,42400.54805333331
2,fixed_manifest,block_05_norm2,layer_norm,GPU,42400.54805333331,42422.67765333331
2,fixed_manifest,block_05_ffn_island,fused_ffn_island,FPGA,42581.442453333315,42914.18997333331
2,fixed_manifest,block_05_residual2,residual_add,GPU,43072.95477333332,43091.30197333331
2,fixed_manifest,block_06_norm1,layer_norm,GPU,43091.30197333331,43113.43157333331
2,fixed_manifest,block_06_qkv,linear_qkv,GPU,43113.43157333331,43556.16405333331
2,fixed_manifest,block_06_attention,self_attention,GPU,43556.16405333331,43712.19061333331
2,fixed_manifest,block_06_proj,linear_projection,GPU,43712.19061333331,43864.43477333331
2,fixed_manifest,block_06_residual1,residual_add,GPU,43864.43477333331,43882.78197333331
2,fixed_manifest,block_06_norm2,layer_norm,GPU,43882.78197333331,43904.91157333331
2,fixed_manifest,block_06_ffn_island,fused_ffn_island,FPGA,44063.676373333314,44396.42389333331
2,fixed_manifest,block_06_residual2,residual_add,GPU,44555.188693333315,44573.53589333331
2,fixed_manifest,block_07_norm1,layer_norm,GPU,44573.53589333331,44595.66549333331
2,fixed_manifest,block_07_qkv,linear_qkv,GPU,44595.66549333331,45038.39797333331
2,fixed_manifest,block_07_attention,self_attention,GPU,45038.39797333331,45194.42453333331
2,fixed_manifest,block_07_proj,linear_projection,GPU,45194.42453333331,45346.66869333331
2,fixed_manifest,block_07_residual1,residual_add,GPU,45346.66869333331,45365.015893333315
2,fixed_manifest,block_07_norm2,layer_norm,GPU,45365.015893333315,45387.14549333331
2,fixed_manifest,block_07_ffn_island,fused_ffn_island,FPGA,45545.91029333331,45878.65781333332
2,fixed_manifest,block_07_residual2,residual_add,GPU,46037.422613333314,46055.76981333331
2,fixed_manifest,block_08_norm1,layer_norm,GPU,46055.76981333331,46077.89941333331
2,fixed_manifest,block_08_qkv,linear_qkv,GPU,46077.89941333331,46520.63189333331
2,fixed_manifest,block_08_attention,self_attention,GPU,46520.63189333331,46676.65845333331
2,fixed_manifest,block_08_proj,linear_projection,GPU,46676.65845333331,46828.90261333331
2,fixed_manifest,block_08_residual1,residual_add,GPU,46828.90261333331,46847.249813333314
2,fixed_manifest,block_08_norm2,layer_norm,GPU,46847.249813333314,46869.37941333331
2,fixed_manifest,block_08_ffn_island,fused_ffn_island,FPGA,47028.14421333331,47360.891733333316
2,fixed_manifest,block_08_residual2,residual_add,GPU,47519.65653333331,47538.00373333332
2,fixed_manifest,block_09_norm1,layer_norm,GPU,47538.00373333332,47560.13333333331
2,fixed_manifest,block_09_qkv,linear_qkv,GPU,47560.13333333331,48002.86581333331
2,fixed_manifest,block_09_attention,self_attention,GPU,48002.86581333331,48158.892373333314
2,fixed_manifest,block_09_proj,linear_projection,GPU,48158.892373333314,48311.136533333316
2,fixed_manifest,block_09_residual1,residual_add,GPU,48311.136533333316,48329.48373333331
2,fixed_manifest,block_09_norm2,layer_norm,GPU,48329.48373333331,48351.613333333305
2,fixed_manifest,block_09_ffn_island,fused_ffn_island,FPGA,48510.37813333331,48843.125653333314
2,fixed_manifest,block_09_residual2,residual_add,GPU,49001.89045333331,49020.237653333315
2,fixed_manifest,block_10_norm1,layer_norm,GPU,49020.237653333315,49042.36725333331
2,fixed_manifest,block_10_qkv,linear_qkv,GPU,49042.36725333331,49485.09973333331
2,fixed_manifest,block_10_attention,self_attention,GPU,49485.09973333331,49641.12629333331
2,fixed_manifest,block_10_proj,linear_projection,GPU,49641.12629333331,49793.370453333315
2,fixed_manifest,block_10_residual1,residual_add,GPU,49793.370453333315,49811.71765333331
2,fixed_manifest,block_10_norm2,layer_norm,GPU,49811.71765333331,49833.847253333304
2,fixed_manifest,block_10_ffn_island,fused_ffn_island,FPGA,49992.61205333331,50325.35957333331
3,fixed_manifest,patch_embedding,patch_embedding,GPU,50000.0,50151.50688
3,fixed_manifest,token_embedding,token_and_position_embedding,GPU,50151.50688,50169.85408
3,fixed_manifest,block_00_norm1,layer_norm,GPU,50169.85408,50191.98368
3,fixed_manifest,block_00_qkv,linear_qkv,GPU,50191.98368,50634.716159999996
2,fixed_manifest,block_10_residual2,residual_add,GPU,50634.716159999996,50653.06335999999
3,fixed_manifest,block_00_attention,self_attention,GPU,50653.06335999999,50809.08991999999
2,fixed_manifest,block_11_norm1,layer_norm,GPU,50809.08991999999,50831.21951999999
3,fixed_manifest,block_00_proj,linear_projection,GPU,50831.21951999999,50983.46367999999
2,fixed_manifest,block_11_qkv,linear_qkv,GPU,50983.46367999999,51426.19615999999
3,fixed_manifest,block_00_residual1,residual_add,GPU,51426.19615999999,51444.54335999999
2,fixed_manifest,block_11_attention,self_attention,GPU,51444.54335999999,51600.569919999994
3,fixed_manifest,block_00_norm2,layer_norm,GPU,51600.569919999994,51622.69951999999
2,fixed_manifest,block_11_proj,linear_projection,GPU,51622.69951999999,51774.94367999999
2,fixed_manifest,block_11_residual1,residual_add,GPU,51774.94367999999,51793.290879999986
3,fixed_manifest,block_00_ffn_island,fused_ffn_island,FPGA,51781.46431999999,52114.211839999996
2,fixed_manifest,block_11_norm2,layer_norm,GPU,51793.290879999986,51815.420479999986
2,fixed_manifest,block_11_ffn_island,fused_ffn_island,FPGA,52114.211839999996,52446.95935999999
3,fixed_manifest,block_00_residual2,residual_add,GPU,52272.97663999999,52291.32384
3,fixed_manifest,block_01_norm1,layer_norm,GPU,52291.32384,52313.45343999999
3,fixed_manifest,block_01_qkv,linear_qkv,GPU,52313.45343999999,52756.18591999999
2,fixed_manifest,block_11_residual2,residual_add,GPU,52756.18591999999,52774.533119999986
3,fixed_manifest,block_01_attention,self_attention,GPU,52774.533119999986,52930.55967999999
2,fixed_manifest,final_norm,layer_norm,GPU,52930.55967999999,52952.689279999984
3,fixed_manifest,block_01_proj,linear_projection,GPU,52952.689279999984,53104.933439999986
