path_kind,pcie_effective_bandwidth_GBps,one_way_fixed_latency_us,fpga_linear_speedup_over_gpu,policy,analytical_makespan_us,speedup_vs_gpu_only,offloaded_linear_tasks,cross_device_edges,logical_cross_device_bytes,physical_link_bytes,valid_for_target_prediction
host_staged_two_copy,8,20,16,static_all_fpga,29419.31909200011,0.7540750961171134,49,97,116198400,232396800,False
host_staged_two_copy,8,20,16,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,8,50,2,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,8,50,2,static_all_fpga,39757.14825600013,0.5579971613947929,49,97,116198400,232396800,False
host_staged_two_copy,8,50,2,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,8,50,4,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,8,50,4,static_all_fpga,35512.67444800014,0.6246889657517558,49,97,116198400,232396800,False
host_staged_two_copy,8,50,4,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,8,50,8,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,8,50,8,static_all_fpga,33390.437544000124,0.6643930868760446,49,97,116198400,232396800,False
host_staged_two_copy,8,50,8,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,8,50,16,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,8,50,16,static_all_fpga,32329.319092000118,0.686199910640541,49,97,116198400,232396800,False
host_staged_two_copy,8,50,16,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,16,5,2,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,16,5,2,static_all_fpga,28129.748256000075,0.7886446643641074,49,97,116198400,232396800,False
host_staged_two_copy,16,5,2,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,16,5,4,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,16,5,4,static_all_fpga,23885.274448000084,0.9287888200864912,49,97,116198400,232396800,False
host_staged_two_copy,16,5,4,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,16,5,8,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,16,5,8,static_all_fpga,21763.037544000083,1.0193602720736055,49,97,116198400,232396800,False
host_staged_two_copy,16,5,8,communication_eft,21052.29308800006,1.0537747968483893,36,72,101670912,203341824,False
host_staged_two_copy,16,5,16,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,16,5,16,static_all_fpga,20701.919092000066,1.0716096306536538,49,97,116198400,232396800,False
host_staged_two_copy,16,5,16,communication_eft,20082.431632000054,1.1046658232686648,36,72,101670912,203341824,False
host_staged_two_copy,16,10,2,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,16,10,2,static_all_fpga,28614.74825600008,0.775277688048445,49,97,116198400,232396800,False
host_staged_two_copy,16,10,2,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,16,10,4,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,16,10,4,static_all_fpga,24370.27444800009,0.9103047205863757,49,97,116198400,232396800,False
host_staged_two_copy,16,10,4,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,16,10,8,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,16,10,8,static_all_fpga,22248.037544000086,0.9971385488776632,49,97,116198400,232396800,False
host_staged_two_copy,16,10,8,communication_eft,21400.95232000005,1.036606948152855,24,48,72622080,145244160,False
host_staged_two_copy,16,10,16,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,16,10,16,static_all_fpga,21186.919092000066,1.047078896920722,49,97,116198400,232396800,False
host_staged_two_copy,16,10,16,communication_eft,20442.431632000058,1.0852121837244235,36,72,101670912,203341824,False
host_staged_two_copy,16,20,2,gpu_only,22184.375872000015,1.0,0,0,0,0,False
